time,symbol,action,side,price,qty,agent,pnl,note
2025-10-01T14:15:00+00:00,DOGEUSDT,OPEN,BUY,0.24435029,4615.677726,apex_microburst,0.00,conf=0.950
2025-10-01T14:05:00+00:00,DOGEUSDT,CLOSE,BUY,0.24374000,4615.677726,apex_microburst,-2.82,HardUSDStop
2025-10-06T17:55:00+00:00,SOLUSDT,OPEN,BUY,236.31000000,4.772723,apex_supertrend_adaptive,0.00,conf=0.927
2025-10-06T18:05:00+00:00,SOLUSDT,CLOSE,BUY,236.72000000,4.772723,apex_supertrend_adaptive,1.96,QuickTP
2025-10-06T19:15:00+00:00,DOGEUSDT,OPEN,BUY,0.26895000,4193.501286,apex_supertrend_adaptive,0.00,conf=0.954
2025-10-06T19:20:00+00:00,DOGEUSDT,CLOSE,BUY,0.26787000,4193.501286,apex_supertrend_adaptive,-4.53,HardUSDStop
2025-10-06T19:30:00+00:00,DOGEUSDT,OPEN,BUY,0.26853000,4200.060220,apex_supertrend_adaptive,0.00,conf=0.990
2025-10-06T19:35:00+00:00,DOGEUSDT,CLOSE,BUY,0.26781000,4200.060220,apex_supertrend_adaptive,-3.02,HardUSDStop
2025-10-06T21:55:00+00:00,DOGEUSDT,OPEN,BUY,0.26902000,4192.410122,apex_supertrend_adaptive,0.00,conf=0.944
2025-10-06T22:00:00+00:00,DOGEUSDT,CLOSE,BUY,0.26928000,4192.410122,apex_supertrend_adaptive,1.09,QuickTP
