time,symbol,action,side,price,qty,agent,pnl,note
2025-10-06T12:20:00+00:00,BNBUSDT,OPEN,BUY,1235.89000000,0.467401,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T12:30:00+00:00,BNBUSDT,CLOSE,BUY,1237.38000000,0.467401,apex_supertrend_adaptive,0.70,QuickTP
2025-10-06T12:30:00+00:00,BNBUSDT,OPEN,BUY,1237.38000000,0.466838,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T12:40:00+00:00,BNBUSDT,CLOSE,BUY,1234.10000000,0.466838,apex_supertrend_adaptive,-1.53,HardUSDStop
2025-10-06T12:40:00+00:00,BNBUSDT,OPEN,BUY,1234.10000000,0.468079,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T12:45:00+00:00,BNBUSDT,CLOSE,BUY,1238.71000000,0.468079,apex_supertrend_adaptive,2.16,QuickTP
2025-10-06T12:45:00+00:00,BNBUSDT,OPEN,BUY,1238.71000000,0.466337,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T13:00:00+00:00,BNBUSDT,CLOSE,BUY,1235.30000000,0.466337,apex_supertrend_adaptive,-1.59,HardUSDStop
2025-10-06T13:00:00+00:00,BNBUSDT,OPEN,BUY,1235.30000000,0.467624,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T13:05:00+00:00,BNBUSDT,CLOSE,BUY,1232.18000000,0.467624,apex_supertrend_adaptive,-1.46,HardUSDStop
2025-10-06T17:25:00+00:00,SOLUSDT,OPEN,BUY,237.09000000,2.436442,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T17:30:00+00:00,SOLUSDT,CLOSE,BUY,236.12000000,2.436442,apex_supertrend_adaptive,-2.36,HardUSDStop
2025-10-06T17:50:00+00:00,SOLUSDT,OPEN,BUY,236.75000000,2.439941,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T18:00:00+00:00,SOLUSDT,CLOSE,BUY,235.99000000,2.439941,apex_supertrend_adaptive,-1.85,HardUSDStop
2025-10-06T18:05:00+00:00,SOLUSDT,OPEN,BUY,236.72000000,2.440250,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T18:10:00+00:00,SOLUSDT,CLOSE,BUY,236.19000000,2.440250,apex_supertrend_adaptive,-1.29,HardUSDStop
2025-10-06T18:55:00+00:00,SOLUSDT,OPEN,BUY,236.68000000,2.440662,apex_supertrend_adaptive,0.00,conf=1.288
2025-10-06T19:00:00+00:00,SOLUSDT,CLOSE,BUY,236.19000000,2.440662,apex_supertrend_adaptive,-1.20,HardUSDStop
2025-10-06T21:45:00+00:00,ASTERUSDT,OPEN,BUY,2.11190000,273.524315,apex_supertrend_adaptive,0.00,conf=1.148
2025-10-06T21:50:00+00:00,ASTERUSDT,CLOSE,BUY,2.11480000,273.524315,apex_supertrend_adaptive,0.79,QuickTP
