symbol,agent,trades,winrate,avg_pnl,confidence
BTCUSDT,RSI,1,1.0,0.00168,0.893
BTCUSDT,BREAKOUT,198,0.0,0.0,100.0
BTCUSDT,COSMIC,14,0.643,0.00068,1.0
BTCUSDT_15m_500_minutes,BREAKOUT,235,0.0,0.0,100.0
BTCUSDT_15m_500_minutes,COSMIC,5,0.4,-0.00058,1.0
BTCUSDT_1h_2_days,RSI,1,1.0,0.00168,0.893
BTCUSDT_1h_2_days,VWAP,1,0.0,0.0,0.823
BTCUSDT_1h_2_days,BREAKOUT,193,0.0,0.0,100.0
BTCUSDT_1h_2_days,COSMIC,11,0.455,0.00144,1.0
BTCUSDT_1h_30_days,RSI,1,1.0,0.00168,0.893
BTCUSDT_1h_30_days,BREAKOUT,142,0.0,0.0,100.0
BTCUSDT_1h_30_days,COSMIC,8,0.5,0.00156,1.0
BTCUSDT_1h_500_minutes,RSI,1,1.0,0.00168,0.893
BTCUSDT_1h_500_minutes,VWAP,1,0.0,0.0,0.823
BTCUSDT_1h_500_minutes,BREAKOUT,193,0.0,0.0,100.0
BTCUSDT_1h_500_minutes,COSMIC,11,0.455,0.00144,1.0
BTCUSDT_1m_30_min,BREAKOUT,191,0.0,0.0,100.0
BTCUSDT_1m_30_min,COSMIC,13,0.385,6e-05,1.0
DOGEUSDT,VWAP,758,0.0,0.0,0.995
DOGEUSDT,BREAKOUT,191,0.0,0.0,100.0
DOGEUSDT,COSMIC,7,0.143,-0.00884,1.0
ETHUSDT,VWAP,56,0.0,0.0,0.98
ETHUSDT,BREAKOUT,189,0.0,0.0,100.0
ETHUSDT,COSMIC,6,0.833,0.0051,1.0
PEPEUSDT,VWAP,716,0.0,0.0,0.991
PEPEUSDT,BREAKOUT,189,0.0,0.0,100.0
PEPEUSDT,COSMIC,9,0.556,0.00228,1.0
RNDRUSDT,VWAP,470,0.0,0.0,0.971
RNDRUSDT,BREAKOUT,221,0.0,0.0,100.0
RNDRUSDT,COSMIC,8,0.625,0.00574,1.0
SOLUSDT,VWAP,438,0.0,0.0,0.946
SOLUSDT,BREAKOUT,218,0.0,0.0,100.0
SOLUSDT,COSMIC,7,0.571,-0.0009,1.0
